epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,3454.8,1.08244,0.86776,1.29626,0.83133,0.69431,0.76981,0.4817,1.52153,0.88804,1.68316,0.0069112,0.0069112,0.0069112
158,3478.62,1.06818,0.85039,1.27468,0.79529,0.71786,0.77151,0.48413,1.6027,0.91616,1.77468,0.0068914,0.0068914,0.0068914
159,3502.25,1.07962,0.84499,1.2746,0.69429,0.71172,0.72979,0.43133,1.64394,0.99354,1.80011,0.0068716,0.0068716,0.0068716
160,3525.92,1.06639,0.83381,1.27459,0.7142,0.77556,0.77752,0.45222,1.57985,0.93644,1.712,0.0068518,0.0068518,0.0068518
161,3549.29,1.07836,0.83919,1.29191,0.71516,0.7237,0.75571,0.45396,1.51393,0.98459,1.66328,0.006832,0.006832,0.006832
162,3572.76,1.07574,0.83675,1.27454,0.73466,0.76594,0.79185,0.4946,1.52135,0.88771,1.69059,0.0068122,0.0068122,0.0068122
163,3595.35,1.04862,0.82133,1.26483,0.62319,0.83415,0.75453,0.46546,1.54819,0.91612,1.73133,0.0067924,0.0067924,0.0067924
164,3618.03,1.06104,0.82782,1.27052,0.67661,0.77507,0.72126,0.4448,1.58769,0.90051,1.79101,0.0067726,0.0067726,0.0067726
165,3640.61,1.0456,0.83473,1.25707,0.66712,0.7468,0.71968,0.37999,1.64812,1.02795,1.83145,0.0067528,0.0067528,0.0067528
166,3663.65,1.05386,0.81884,1.26424,0.78134,0.71098,0.75263,0.46244,1.58505,0.90222,1.75315,0.006733,0.006733,0.006733
167,3686.64,1.06242,0.81718,1.27009,0.72574,0.79146,0.79072,0.42716,1.76095,0.92405,1.92066,0.0067132,0.0067132,0.0067132
168,3709.75,1.05552,0.82303,1.26423,0.72439,0.82346,0.78723,0.44621,1.66752,1.00532,1.83776,0.0066934,0.0066934,0.0066934
169,3732.96,1.05636,0.80819,1.25592,0.73857,0.8208,0.78367,0.4415,1.67411,0.91477,1.84082,0.0066736,0.0066736,0.0066736
170,3755.87,1.03979,0.80562,1.25262,0.76994,0.72709,0.78467,0.45287,1.54873,0.91063,1.72269,0.0066538,0.0066538,0.0066538
171,3778.98,1.04432,0.81121,1.25719,0.63929,0.79619,0.73229,0.43477,1.63293,1.01075,1.77644,0.006634,0.006634,0.006634
172,3801.91,1.05176,0.8127,1.26649,0.73789,0.81669,0.77555,0.45279,1.63927,0.88361,1.81435,0.0066142,0.0066142,0.0066142
173,3824.53,1.03786,0.80578,1.24661,0.78787,0.72518,0.74802,0.45269,1.63402,0.9153,1.82264,0.0065944,0.0065944,0.0065944
174,3847.16,1.03456,0.81733,1.24802,0.56805,0.76822,0.69436,0.45186,1.5536,0.96205,1.73008,0.0065746,0.0065746,0.0065746
175,3870.04,1.0366,0.80021,1.25719,0.69421,0.82703,0.76634,0.46376,1.64296,0.93154,1.84607,0.0065548,0.0065548,0.0065548
176,3892.98,1.03166,0.78989,1.24467,0.65042,0.76453,0.73906,0.42361,1.62566,0.93735,1.81659,0.006535,0.006535,0.006535
177,3916.01,1.02994,0.78444,1.24702,0.71661,0.68976,0.70731,0.43842,1.70572,0.9555,1.87728,0.0065152,0.0065152,0.0065152
178,3938.72,1.03033,0.79484,1.24827,0.67145,0.79762,0.76206,0.45038,1.57209,0.95963,1.75799,0.0064954,0.0064954,0.0064954
179,3961.78,1.01557,0.76859,1.23325,0.63705,0.73368,0.72762,0.45088,1.53943,0.9736,1.69415,0.0064756,0.0064756,0.0064756
